Order_ID,Order_Date,Category,City,Price,Quantity,Revenue,Year,Month,Day,Weekday,Product
34,2024-07-26,Electronics,Mumbai,2560,2,5120,2024,7,26,Friday,Headphones
35,2025-12-26,Clothing,Chennai,1547,4,6188,2025,12,26,Friday,Phone
36,2024-08-21,Groceries,Hyderabad,1299,6,7794,2024,8,21,Wednesday,Camera
37,2026-06-21,Sports,Chennai,2343,1,2343,2026,6,21,Sunday,Headphones
38,2026-06-21,Furniture,Chennai,2904,7,20328,2026,6,21,Sunday,Keyboard
39,2024-08-14,Furniture,Hyderabad,2094,5,10470,2024,8,14,Wednesday,Laptop
40,2024-09-26,Sports,Chennai,1644,8,13152,2024,9,26,Thursday,Bag
41,2024-09-15,Sports,Mumbai,590,2,1180,2024,9,15,Sunday,TV
42,2025-11-15,Sports,Delhi,2050,1,2050,2025,11,15,Saturday,Tablet
43,2025-12-08,Electronics,Bangalore,289,10,2890,2025,12,8,Monday,TV
44,2025-02-08,Clothing,Chennai,2512,5,12560,2025,2,8,Saturday,Watch
45,2025-02-24,Sports,Bangalore,2896,7,20272,2025,2,24,Monday,Watch
46,2025-10-13,Furniture,Chennai,4233,8,33864,2025,10,13,Monday,Phone
47,2024-08-13,Sports,Hyderabad,3940,3,11820,2024,8,13,Tuesday,Watch
48,2025-05-20,Groceries,Bangalore,3824,7,26768,2025,5,20,Tuesday,Shoes
49,2025-07-11,Groceries,Mumbai,2503,6,15018,2025,7,11,Friday,Tablet
50,2025-11-14,Sports,Delhi,479,8,3832,2025,11,14,Friday,Laptop
51,2025-09-21,Groceries,Delhi,1926,8,15408,2025,9,21,Sunday,Phone
52,2025-06-21,Sports,Hyderabad,3780,7,26460,2025,6,21,Saturday,Watch
53,2025-01-22,Groceries,Delhi,2265,5,11325,2025,1,22,Wednesday,Headphones
54,2024-11-03,Furniture,Bangalore,4794,8,38352,2024,11,3,Sunday,Shoes
55,2025-12-28,Electronics,Mumbai,4071,6,24426,2025,12,28,Sunday,Camera
56,2025-06-08,Electronics,Bangalore,1534,3,4602,2025,6,8,Sunday,Shoes
57,2025-01-14,Furniture,Bangalore,4437,1,4437,2025,1,14,Tuesday,Camera
58,2024-07-21,Groceries,Chennai,2649,8,21192,2024,7,21,Sunday,Camera
59,2026-02-27,Furniture,Mumbai,4968,10,49680,2026,2,27,Friday,Laptop
60,2025-03-10,Groceries,Hyderabad,4895,10,48950,2025,3,10,Monday,Headphones
61,2024-06-28,Sports,Bangalore,2022,4,8088,2024,6,28,Friday,TV
62,2024-12-11,Electronics,Delhi,3457,10,34570,2024,12,11,Wednesday,Camera
63,2024-10-04,Electronics,Chennai,2651,1,2651,2024,10,4,Friday,Tablet
64,2024-12-08,Electronics,Bangalore,1861,2,3722,2024,12,8,Sunday,Keyboard
65,2026-03-03,Electronics,Mumbai,4447,3,13341,2026,3,3,Tuesday,Laptop
66,2025-06-12,Furniture,Chennai,137,9,1233,2025,6,12,Thursday,Tablet
67,2024-08-15,Furniture,Hyderabad,4786,6,28716,2024,8,15,Thursday,Tablet
68,2025-06-25,Groceries,Bangalore,4871,9,43839,2025,6,25,Wednesday,Bag
69,2025-12-27,Sports,Mumbai,103,8,824,2025,12,27,Saturday,Tablet
70,2026-04-06,Electronics,Bangalore,2825,1,2825,2026,4,6,Monday,Bag
71,2025-04-26,Furniture,Mumbai,4434,4,17736,2025,4,26,Saturday,Phone
72,2025-08-17,Furniture,Mumbai,4611,10,46110,2025,8,17,Sunday,Keyboard
73,2025-09-05,Sports,Delhi,417,3,1251,2025,9,5,Friday,Headphones
74,2025-03-21,Electronics,Mumbai,3179,8,25432,2025,3,21,Friday,Keyboard
75,2024-12-22,Groceries,Chennai,2615,5,13075,2024,12,22,Sunday,Camera
76,2026-06-26,Groceries,Mumbai,3992,4,15968,2026,6,26,Friday,Bag
77,2026-06-16,Sports,Chennai,1837,10,18370,2026,6,16,Tuesday,Camera
78,2024-09-05,Sports,Chennai,2776,10,27760,2024,9,5,Thursday,Headphones
79,2024-08-29,Electronics,Chennai,2642,3,7926,2024,8,29,Thursday,Laptop
80,2025-03-27,Groceries,Mumbai,2838,1,2838,2025,3,27,Thursday,Headphones
81,2025-11-16,Clothing,Hyderabad,1136,3,3408,2025,11,16,Sunday,Headphones
82,2024-08-18,Sports,Delhi,4779,3,14337,2024,8,18,Sunday,Shoes
83,2024-08-16,Sports,Bangalore,2557,10,25570,2024,8,16,Friday,Shoes
84,2026-05-17,Sports,Mumbai,347,4,1388,2026,5,17,Sunday,Tablet
85,2025-04-28,Groceries,Hyderabad,772,4,3088,2025,4,28,Monday,Watch
86,2024-08-05,Sports,Bangalore,1433,6,8598,2024,8,5,Monday,Laptop
87,2024-09-04,Sports,Chennai,2976,8,23808,2024,9,4,Wednesday,Headphones
88,2024-12-10,Clothing,Mumbai,2058,6,12348,2024,12,10,Tuesday,Keyboard
89,2024-10-27,Groceries,Hyderabad,2381,1,2381,2024,10,27,Sunday,Laptop
90,2026-03-14,Furniture,Hyderabad,3153,2,6306,2026,3,14,Saturday,Laptop
91,2025-05-16,Sports,Bangalore,712,10,7120,2025,5,16,Friday,Watch
92,2024-09-26,Electronics,Delhi,3793,3,11379,2024,9,26,Thursday,Watch
93,2025-12-17,Sports,Hyderabad,3963,3,11889,2025,12,17,Wednesday,Laptop
94,2024-12-06,Clothing,Delhi,3525,7,24675,2024,12,6,Friday,Bag
95,2025-04-04,Electronics,Mumbai,1534,10,15340,2025,4,4,Friday,Watch
96,2024-12-11,Furniture,Bangalore,510,7,3570,2024,12,11,Wednesday,Tablet
97,2025-01-22,Furniture,Mumbai,3555,10,35550,2025,1,22,Wednesday,Tablet
98,2026-06-28,Sports,Hyderabad,2052,6,12312,2026,6,28,Sunday,Shoes
99,2025-03-07,Furniture,Delhi,1588,2,3176,2025,3,7,Friday,TV
100,2024-10-15,Groceries,Delhi,4723,7,33061,2024,10,15,Tuesday,Watch
101,2025-06-07,Furniture,Delhi,1693,5,8465,2025,6,7,Saturday,Tablet
102,2025-02-02,Groceries,Delhi,3711,8,29688,2025,2,2,Sunday,Bag
103,2026-06-06,Sports,Chennai,455,7,3185,2026,6,6,Saturday,Tablet
104,2024-07-11,Electronics,Bangalore,696,8,5568,2024,7,11,Thursday,Shoes
105,2026-05-23,Furniture,Chennai,1046,3,3138,2026,5,23,Saturday,TV
106,2025-10-01,Electronics,Delhi,4260,1,4260,2025,10,1,Wednesday,Watch
107,2025-12-17,Groceries,Bangalore,2891,5,14455,2025,12,17,Wednesday,Phone
108,2026-04-27,Groceries,Mumbai,4508,2,9016,2026,4,27,Monday,Camera
109,2024-08-02,Furniture,Chennai,2502,3,7506,2024,8,2,Friday,Bag
110,2026-01-06,Groceries,Chennai,4558,9,41022,2026,1,6,Tuesday,Camera
111,2025-01-14,Clothing,Mumbai,2735,9,24615,2025,1,14,Tuesday,Headphones
112,2025-04-09,Furniture,Hyderabad,3356,6,20136,2025,4,9,Wednesday,Tablet
113,2026-02-15,Furniture,Chennai,1225,9,11025,2026,2,15,Sunday,Laptop
114,2026-06-20,Groceries,Hyderabad,1441,5,7205,2026,6,20,Saturday,Watch
115,2025-06-04,Furniture,Mumbai,142,2,284,2025,6,4,Wednesday,Headphones
116,2026-05-20,Groceries,Bangalore,3069,8,24552,2026,5,20,Wednesday,Watch
117,2024-07-09,Electronics,Bangalore,321,2,642,2024,7,9,Tuesday,Tablet
118,2025-09-29,Groceries,Delhi,4147,10,41470,2025,9,29,Monday,Shoes
119,2026-01-26,Clothing,Chennai,2965,6,17790,2026,1,26,Monday,Laptop
120,2024-11-30,Sports,Bangalore,1665,5,8325,2024,11,30,Saturday,Phone
121,2024-10-16,Sports,Mumbai,2688,7,18816,2024,10,16,Wednesday,Watch
122,2026-04-20,Groceries,Delhi,361,2,722,2026,4,20,Monday,Bag
123,2024-12-29,Clothing,Hyderabad,3992,10,39920,2024,12,29,Sunday,Tablet
124,2026-06-24,Groceries,Bangalore,1748,7,12236,2026,6,24,Wednesday,Phone
125,2025-09-23,Clothing,Hyderabad,1253,9,11277,2025,9,23,Tuesday,TV
126,2026-06-24,Clothing,Delhi,2658,7,18606,2026,6,24,Wednesday,Keyboard
127,2026-03-25,Furniture,Chennai,726,5,3630,2026,3,25,Wednesday,Laptop
128,2026-04-18,Groceries,Chennai,1258,9,11322,2026,4,18,Saturday,Tablet
129,2025-09-05,Sports,Hyderabad,2864,4,11456,2025,9,5,Friday,Shoes
130,2024-12-30,Sports,Chennai,4692,2,9384,2024,12,30,Monday,Headphones
131,2025-04-22,Furniture,Bangalore,331,10,3310,2025,4,22,Tuesday,Watch
132,2025-02-24,Clothing,Bangalore,2464,3,7392,2025,2,24,Monday,Laptop
133,2025-08-19,Furniture,Hyderabad,4393,8,35144,2025,8,19,Tuesday,Headphones
134,2024-09-29,Clothing,Mumbai,890,8,7120,2024,9,29,Sunday,Tablet
135,2025-01-24,Electronics,Hyderabad,1701,4,6804,2025,1,24,Friday,Headphones
136,2025-10-24,Sports,Chennai,626,4,2504,2025,10,24,Friday,Shoes
137,2025-02-06,Groceries,Mumbai,3363,6,20178,2025,2,6,Thursday,TV
138,2026-04-10,Furniture,Chennai,1889,7,13223,2026,4,10,Friday,Tablet
139,2025-09-08,Clothing,Mumbai,1291,10,12910,2025,9,8,Monday,Bag
140,2025-02-11,Sports,Chennai,3508,1,3508,2025,2,11,Tuesday,Bag
141,2024-11-27,Sports,Mumbai,2952,6,17712,2024,11,27,Wednesday,Bag
142,2025-02-23,Groceries,Bangalore,3930,3,11790,2025,2,23,Sunday,Watch
143,2026-05-21,Furniture,Bangalore,4243,1,4243,2026,5,21,Thursday,Tablet
144,2025-10-31,Sports,Bangalore,2445,10,24450,2025,10,31,Friday,TV
145,2024-08-17,Clothing,Delhi,3626,8,29008,2024,8,17,Saturday,Phone
146,2025-03-03,Electronics,Mumbai,2581,2,5162,2025,3,3,Monday,TV
147,2026-05-22,Electronics,Mumbai,236,10,2360,2026,5,22,Friday,Camera
148,2025-02-18,Sports,Hyderabad,1532,1,1532,2025,2,18,Tuesday,Tablet
149,2026-01-18,Electronics,Mumbai,4334,1,4334,2026,1,18,Sunday,TV
150,2025-03-06,Sports,Mumbai,1324,9,11916,2025,3,6,Thursday,TV
151,2025-08-02,Sports,Mumbai,955,10,9550,2025,8,2,Saturday,Phone
152,2026-05-02,Groceries,Chennai,1834,2,3668,2026,5,2,Saturday,Camera
153,2026-02-28,Furniture,Chennai,5000,9,45000,2026,2,28,Saturday,Shoes
154,2025-12-05,Furniture,Delhi,4980,6,29880,2025,12,5,Friday,Phone
155,2025-01-21,Electronics,Mumbai,4088,6,24528,2025,1,21,Tuesday,Bag
156,2026-02-01,Groceries,Delhi,3864,6,23184,2026,2,1,Sunday,Laptop
157,2025-03-16,Electronics,Mumbai,1730,7,12110,2025,3,16,Sunday,Laptop
158,2024-11-12,Sports,Delhi,3042,3,9126,2024,11,12,Tuesday,Bag
159,2025-06-23,Electronics,Mumbai,3502,3,10506,2025,6,23,Monday,Headphones
160,2026-01-08,Groceries,Delhi,843,4,3372,2026,1,8,Thursday,TV
161,2026-02-19,Furniture,Delhi,2315,4,9260,2026,2,19,Thursday,Camera
162,2025-03-02,Sports,Bangalore,2097,5,10485,2025,3,2,Sunday,Laptop
163,2024-11-24,Electronics,Hyderabad,736,9,6624,2024,11,24,Sunday,Laptop
164,2026-04-29,Electronics,Mumbai,3741,9,33669,2026,4,29,Wednesday,Bag
165,2024-08-23,Furniture,Hyderabad,487,4,1948,2024,8,23,Friday,Laptop
166,2025-07-13,Furniture,Hyderabad,4728,9,42552,2025,7,13,Sunday,Shoes
167,2025-02-17,Clothing,Bangalore,3228,7,22596,2025,2,17,Monday,TV
168,2025-10-05,Clothing,Mumbai,3482,4,13928,2025,10,5,Sunday,Watch
169,2025-03-23,Groceries,Hyderabad,1213,3,3639,2025,3,23,Sunday,Laptop
170,2025-06-15,Electronics,Hyderabad,2687,6,16122,2025,6,15,Sunday,Tablet
171,2025-05-09,Electronics,Mumbai,369,1,369,2025,5,9,Friday,Headphones
172,2025-06-07,Groceries,Bangalore,1741,5,8705,2025,6,7,Saturday,Laptop
173,2025-07-05,Sports,Hyderabad,4299,3,12897,2025,7,5,Saturday,Shoes
174,2025-03-21,Groceries,Mumbai,429,1,429,2025,3,21,Friday,Watch
175,2025-12-12,Groceries,Delhi,1571,2,3142,2025,12,12,Friday,Camera
176,2025-09-29,Groceries,Mumbai,4974,1,4974,2025,9,29,Monday,Keyboard
177,2025-03-23,Electronics,Hyderabad,4612,5,23060,2025,3,23,Sunday,Bag
178,2024-10-06,Clothing,Mumbai,1025,7,7175,2024,10,6,Sunday,Headphones
179,2025-06-09,Furniture,Mumbai,983,7,6881,2025,6,9,Monday,Shoes
180,2024-08-27,Sports,Bangalore,1589,4,6356,2024,8,27,Tuesday,Laptop
181,2024-11-20,Groceries,Chennai,1597,1,1597,2024,11,20,Wednesday,TV
182,2025-03-18,Sports,Bangalore,1958,6,11748,2025,3,18,Tuesday,Camera
183,2025-08-13,Groceries,Hyderabad,3572,5,17860,2025,8,13,Wednesday,Camera
184,2025-01-05,Sports,Chennai,4470,1,4470,2025,1,5,Sunday,Bag
185,2024-09-10,Electronics,Hyderabad,600,10,6000,2024,9,10,Tuesday,TV
186,2025-07-30,Groceries,Bangalore,2219,9,19971,2025,7,30,Wednesday,Tablet
187,2025-12-22,Furniture,Bangalore,1566,6,9396,2025,12,22,Monday,Headphones
188,2025-08-17,Groceries,Hyderabad,3814,7,26698,2025,8,17,Sunday,Watch
189,2025-01-10,Electronics,Chennai,4725,10,47250,2025,1,10,Friday,Bag
190,2025-04-25,Furniture,Chennai,1999,4,7996,2025,4,25,Friday,Headphones
191,2026-05-18,Groceries,Chennai,2246,4,8984,2026,5,18,Monday,Watch
192,2025-08-06,Groceries,Hyderabad,2440,1,2440,2025,8,6,Wednesday,Watch
193,2024-11-15,Sports,Hyderabad,1543,6,9258,2024,11,15,Friday,Watch
194,2024-07-09,Furniture,Delhi,2345,1,2345,2024,7,9,Tuesday,TV
195,2026-02-01,Electronics,Bangalore,2761,8,22088,2026,2,1,Sunday,Bag
196,2026-02-09,Electronics,Delhi,712,1,712,2026,2,9,Monday,Camera
197,2026-01-05,Electronics,Bangalore,2303,6,13818,2026,1,5,Monday,Keyboard
198,2025-03-07,Sports,Hyderabad,4634,3,13902,2025,3,7,Friday,Camera
199,2025-04-23,Sports,Mumbai,3306,7,23142,2025,4,23,Wednesday,Headphones
200,2026-01-29,Electronics,Hyderabad,490,3,1470,2026,1,29,Thursday,Bag
201,2025-09-09,Electronics,Chennai,2784,8,22272,2025,9,9,Tuesday,Bag
202,2025-06-07,Groceries,Mumbai,651,3,1953,2025,6,7,Saturday,Bag
203,2025-05-08,Sports,Delhi,794,9,7146,2025,5,8,Thursday,Keyboard
204,2025-09-10,Furniture,Bangalore,4448,2,8896,2025,9,10,Wednesday,Phone
205,2025-10-18,Electronics,Chennai,247,9,2223,2025,10,18,Saturday,Tablet
206,2024-11-05,Electronics,Bangalore,817,6,4902,2024,11,5,Tuesday,Shoes
207,2024-06-28,Furniture,Mumbai,381,5,1905,2024,6,28,Friday,Camera
208,2025-02-05,Furniture,Bangalore,109,2,218,2025,2,5,Wednesday,Shoes
209,2025-09-10,Sports,Bangalore,1951,7,13657,2025,9,10,Wednesday,Watch
210,2025-12-17,Sports,Bangalore,3364,9,30276,2025,12,17,Wednesday,Camera
211,2026-02-27,Electronics,Chennai,1578,9,14202,2026,2,27,Friday,Watch
212,2026-04-09,Furniture,Chennai,1797,7,12579,2026,4,9,Thursday,Shoes
213,2024-07-28,Furniture,Hyderabad,2943,1,2943,2024,7,28,Sunday,Keyboard
214,2026-03-24,Groceries,Bangalore,3309,5,16545,2026,3,24,Tuesday,Tablet
215,2026-02-27,Groceries,Bangalore,1047,7,7329,2026,2,27,Friday,Camera
216,2024-11-14,Groceries,Hyderabad,3174,2,6348,2024,11,14,Thursday,Camera
217,2025-06-06,Sports,Delhi,1227,6,7362,2025,6,6,Friday,TV
218,2024-07-06,Furniture,Mumbai,3664,8,29312,2024,7,6,Saturday,Camera
219,2025-12-18,Electronics,Bangalore,2570,4,10280,2025,12,18,Thursday,TV
220,2026-04-02,Clothing,Bangalore,2814,8,22512,2026,4,2,Thursday,Shoes
221,2025-04-17,Clothing,Hyderabad,590,7,4130,2025,4,17,Thursday,Watch
222,2026-02-07,Electronics,Delhi,331,5,1655,2026,2,7,Saturday,Laptop
223,2025-04-26,Sports,Delhi,3717,2,7434,2025,4,26,Saturday,Watch
224,2025-10-12,Furniture,Delhi,2167,3,6501,2025,10,12,Sunday,Shoes
225,2026-04-21,Electronics,Delhi,4913,2,9826,2026,4,21,Tuesday,Laptop
226,2025-07-16,Clothing,Mumbai,1021,7,7147,2025,7,16,Wednesday,Laptop
227,2024-12-27,Electronics,Chennai,2873,8,22984,2024,12,27,Friday,Laptop
228,2025-08-09,Sports,Chennai,517,7,3619,2025,8,9,Saturday,Watch
229,2025-08-27,Clothing,Hyderabad,831,4,3324,2025,8,27,Wednesday,Shoes
230,2025-11-28,Electronics,Delhi,2187,2,4374,2025,11,28,Friday,Phone
231,2026-01-16,Clothing,Mumbai,4877,10,48770,2026,1,16,Friday,TV
232,2026-05-15,Sports,Chennai,479,7,3353,2026,5,15,Friday,Headphones
233,2026-06-22,Furniture,Mumbai,2787,6,16722,2026,6,22,Monday,Laptop
234,2025-08-28,Electronics,Chennai,4923,3,14769,2025,8,28,Thursday,Keyboard
235,2025-12-29,Electronics,Hyderabad,517,6,3102,2025,12,29,Monday,Watch
236,2025-08-13,Furniture,Delhi,2634,8,21072,2025,8,13,Wednesday,Shoes
237,2026-06-19,Groceries,Bangalore,507,8,4056,2026,6,19,Friday,Bag
238,2026-06-25,Furniture,Bangalore,3687,6,22122,2026,6,25,Thursday,Shoes
239,2025-03-19,Clothing,Chennai,3212,10,32120,2025,3,19,Wednesday,Tablet
240,2026-06-08,Furniture,Hyderabad,4619,7,32333,2026,6,8,Monday,Shoes
241,2024-08-14,Clothing,Bangalore,4624,5,23120,2024,8,14,Wednesday,Bag
242,2025-04-15,Groceries,Hyderabad,3017,3,9051,2025,4,15,Tuesday,Camera
243,2025-07-18,Sports,Delhi,3708,7,25956,2025,7,18,Friday,Keyboard
244,2025-09-29,Electronics,Bangalore,3622,3,10866,2025,9,29,Monday,Tablet
245,2024-09-04,Clothing,Mumbai,2841,3,8523,2024,9,4,Wednesday,Laptop
246,2024-11-26,Groceries,Hyderabad,4549,3,13647,2024,11,26,Tuesday,Bag
247,2025-01-15,Sports,Hyderabad,311,3,933,2025,1,15,Wednesday,Tablet
248,2026-06-06,Groceries,Bangalore,3342,2,6684,2026,6,6,Saturday,Watch
249,2025-12-16,Clothing,Hyderabad,3169,5,15845,2025,12,16,Tuesday,Camera
250,2025-05-07,Sports,Mumbai,4678,6,28068,2025,5,7,Wednesday,Camera
251,2024-11-06,Groceries,Mumbai,751,8,6008,2024,11,6,Wednesday,Bag
252,2025-10-24,Sports,Hyderabad,4944,9,44496,2025,10,24,Friday,Watch
253,2024-12-15,Furniture,Chennai,2720,10,27200,2024,12,15,Sunday,Camera
254,2025-02-21,Electronics,Delhi,4992,6,29952,2025,2,21,Friday,Camera
255,2024-08-02,Electronics,Delhi,4665,8,37320,2024,8,2,Friday,Camera
256,2025-06-20,Electronics,Hyderabad,480,5,2400,2025,6,20,Friday,Watch
257,2024-08-27,Clothing,Hyderabad,942,9,8478,2024,8,27,Tuesday,Phone
258,2025-12-28,Electronics,Chennai,2176,10,21760,2025,12,28,Sunday,TV
259,2026-06-05,Groceries,Chennai,3286,4,13144,2026,6,5,Friday,Tablet
260,2026-05-01,Sports,Mumbai,4003,2,8006,2026,5,1,Friday,Watch
261,2026-04-25,Sports,Chennai,3390,7,23730,2026,4,25,Saturday,Keyboard
262,2025-01-10,Groceries,Bangalore,1726,2,3452,2025,1,10,Friday,Camera
263,2025-03-09,Electronics,Delhi,4126,5,20630,2025,3,9,Sunday,Headphones
264,2026-03-06,Clothing,Hyderabad,3788,1,3788,2026,3,6,Friday,Keyboard
265,2024-07-29,Sports,Chennai,2468,1,2468,2024,7,29,Monday,Bag
266,2025-05-07,Sports,Chennai,3225,10,32250,2025,5,7,Wednesday,TV
267,2025-07-27,Groceries,Hyderabad,196,7,1372,2025,7,27,Sunday,Headphones
268,2024-11-15,Clothing,Bangalore,3731,7,26117,2024,11,15,Friday,TV
269,2025-10-23,Electronics,Delhi,375,1,375,2025,10,23,Thursday,Shoes
270,2024-07-04,Clothing,Hyderabad,288,1,288,2024,7,4,Thursday,Tablet
271,2025-01-24,Electronics,Chennai,528,2,1056,2025,1,24,Friday,Camera
272,2026-02-18,Furniture,Hyderabad,242,4,968,2026,2,18,Wednesday,Tablet
273,2025-03-24,Electronics,Bangalore,978,6,5868,2025,3,24,Monday,Tablet
274,2025-01-06,Groceries,Bangalore,3544,2,7088,2025,1,6,Monday,Watch
275,2024-08-16,Clothing,Chennai,3748,7,26236,2024,8,16,Friday,Laptop
276,2026-04-04,Clothing,Chennai,4851,7,33957,2026,4,4,Saturday,Watch
277,2024-12-12,Groceries,Chennai,1426,1,1426,2024,12,12,Thursday,Tablet
278,2025-10-14,Electronics,Hyderabad,169,4,676,2025,10,14,Tuesday,Camera
279,2024-08-27,Furniture,Mumbai,1714,9,15426,2024,8,27,Tuesday,Headphones
280,2024-06-30,Clothing,Delhi,557,1,557,2024,6,30,Sunday,TV
281,2024-08-16,Clothing,Delhi,3491,10,34910,2024,8,16,Friday,Keyboard
282,2025-11-15,Electronics,Hyderabad,1620,10,16200,2025,11,15,Saturday,Watch
283,2026-03-02,Electronics,Mumbai,3692,3,11076,2026,3,2,Monday,TV
284,2024-08-12,Groceries,Chennai,1683,8,13464,2024,8,12,Monday,Shoes
285,2025-02-17,Groceries,Hyderabad,1830,7,12810,2025,2,17,Monday,Headphones
286,2024-09-12,Electronics,Chennai,4107,7,28749,2024,9,12,Thursday,TV
287,2025-09-07,Clothing,Delhi,937,3,2811,2025,9,7,Sunday,Headphones
288,2025-10-23,Sports,Chennai,1260,5,6300,2025,10,23,Thursday,Phone
289,2026-06-16,Clothing,Chennai,4429,1,4429,2026,6,16,Tuesday,Laptop
290,2025-06-23,Clothing,Delhi,2300,10,23000,2025,6,23,Monday,TV
291,2026-06-22,Groceries,Bangalore,2499,1,2499,2026,6,22,Monday,Laptop
292,2024-10-27,Electronics,Bangalore,3489,10,34890,2024,10,27,Sunday,Tablet
293,2025-05-30,Groceries,Bangalore,1320,7,9240,2025,5,30,Friday,Keyboard
294,2025-08-10,Groceries,Mumbai,1877,9,16893,2025,8,10,Sunday,Shoes
295,2025-06-10,Electronics,Chennai,3132,9,28188,2025,6,10,Tuesday,Phone
296,2025-11-15,Electronics,Hyderabad,3890,1,3890,2025,11,15,Saturday,Bag
297,2024-12-17,Electronics,Chennai,578,5,2890,2024,12,17,Tuesday,Headphones
298,2026-04-17,Clothing,Mumbai,581,10,5810,2026,4,17,Friday,TV
299,2024-08-06,Furniture,Bangalore,2222,7,15554,2024,8,6,Tuesday,Shoes
300,2026-02-06,Furniture,Mumbai,4077,10,40770,2026,2,6,Friday,Shoes
301,2024-07-31,Clothing,Bangalore,886,8,7088,2024,7,31,Wednesday,Shoes
302,2026-03-08,Electronics,Mumbai,2856,4,11424,2026,3,8,Sunday,Bag
303,2024-08-30,Clothing,Hyderabad,2180,1,2180,2024,8,30,Friday,Camera
304,2025-12-03,Clothing,Mumbai,3483,1,3483,2025,12,3,Wednesday,Headphones
305,2025-07-17,Sports,Hyderabad,3144,7,22008,2025,7,17,Thursday,Phone
306,2026-03-06,Sports,Delhi,4396,4,17584,2026,3,6,Friday,Watch
307,2025-08-05,Groceries,Mumbai,1150,7,8050,2025,8,5,Tuesday,Headphones
308,2025-07-14,Furniture,Hyderabad,2771,2,5542,2025,7,14,Monday,Keyboard
309,2026-06-19,Clothing,Mumbai,830,10,8300,2026,6,19,Friday,Headphones
310,2026-04-06,Clothing,Delhi,3940,6,23640,2026,4,6,Monday,Laptop
311,2026-04-08,Clothing,Chennai,1061,1,1061,2026,4,8,Wednesday,Laptop
312,2025-08-12,Clothing,Bangalore,2996,2,5992,2025,8,12,Tuesday,Camera
313,2024-09-06,Furniture,Hyderabad,3177,1,3177,2024,9,6,Friday,Shoes
314,2024-07-11,Sports,Bangalore,4460,1,4460,2024,7,11,Thursday,TV
315,2024-12-31,Electronics,Chennai,3481,10,34810,2024,12,31,Tuesday,Watch
316,2026-05-20,Furniture,Mumbai,2758,6,16548,2026,5,20,Wednesday,Headphones
317,2024-11-03,Groceries,Hyderabad,421,6,2526,2024,11,3,Sunday,Watch
